Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2026-01-01,Any nou,New Year's Day,AD,False,True,,Public,
2026-01-06,Reis,Epiphany,AD,False,True,,Public,
2026-02-16,Carnaval,Carnival,AD,False,True,,Public,
2026-03-14,Dia de la Constitució,Constitution Day,AD,False,True,,Public,
2026-04-03,Divendres Sant,Good Friday,AD,False,True,,Public,
2026-04-06,Dilluns de Pasqua,Easter Monday,AD,False,True,,Public,
2026-05-01,Festa del Treball,Labour Day,AD,False,True,,Public,
2026-05-25,Dilluns de Pentecosta,Whit Monday,AD,False,True,,Public,
2026-08-15,Assumpció,Assumption Day,AD,False,True,,Public,
2026-09-08,Mare de Déu de Meritxell,National Holiday,AD,False,True,,Public,
2026-11-01,Tots Sants,All Saints' Day,AD,False,True,,Public,
2026-12-08,Immaculada Concepció,Immaculate Conception,AD,False,True,,Public,
2026-12-25,Nadal,Christmas Day,AD,False,True,,Public,
2026-12-26,Sant Esteve,St. Stephen's Day,AD,False,True,,Public,
