Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2026-01-01,Ամանոր,New Year's Day,AM,False,True,,Public,
2026-01-02,Ամանոր,New Year's Day,AM,False,True,,Public,
2026-01-05,Սուրբ Ծնունդ,Christmas Day,AM,False,True,,Public,
2026-01-06,Սուրբ Ծնունդ,Christmas Day,AM,False,True,,Public,
2026-01-28,Բանակի օր,Army Day,AM,False,True,,Public,
2026-03-08,Կանանց տոն,Women's Day,AM,False,True,,Public,
2026-04-05,Ամանոր,Easter Sunday,AM,False,True,,Public,
2026-04-24,Եղեռնի զոհերի հիշատակի օր,Armenian Genocide Remembrance Day,AM,False,True,,Public,
2026-05-01,Աշխատանքի օր,Labour Day,AM,False,True,,Public,
2026-05-09,Հաղթանակի և Խաղաղության տոն,Victory and Peace Day,AM,False,True,,Public,
2026-05-28,Հանրապետության օր,Republic Day,AM,False,True,,Public,
2026-07-05,Սահմանադրության օր,Constitution Day,AM,False,True,,Public,
2026-09-21,Անկախության օր,Independence Day,AM,False,True,,Public,
2026-12-31,Ամանոր,New Year's Eve,AM,False,True,,Public,
