Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2029-01-01,Año Nuevo,New Year's Day,AR,False,True,,Public,
2029-02-12,Carnaval,Carnival,AR,False,True,,Public,
2029-02-13,Carnaval,Carnival,AR,False,True,,Public,
2029-03-24,Día Nacional de la Memoria por la Verdad y la Justicia,Day of Remembrance for Truth and Justice,AR,False,True,,Public,
2029-03-30,Viernes Santo,Good Friday,AR,False,True,,Public,
2029-04-02,Día del Veterano y de los Caídos en la Guerra de Malvinas,Day of the Veterans and Fallen of the Malvinas War,AR,False,True,,Public,
2029-05-01,Día del Trabajador,Labour Day,AR,False,True,,Public,
2029-05-25,Día de la Revolución de Mayo,May Revolution,AR,False,True,,Public,
2029-06-17,Paso a la Inmortalidad del General Martín Miguel de Güemes,Anniversary of the Passing of General Martín Miguel de Güemes,AR,False,True,,Public,
2029-06-20,Paso a la Inmortalidad del General Manuel Belgrano,General Manuel Belgrano Memorial Day,AR,False,True,,Public,
2029-07-09,Día de la Independencia,Independence Day,AR,False,True,,Public,
2029-08-20,Paso a la Inmortalidad del General José de San Martín,General José de San Martín Memorial Day,AR,False,True,,Public,
2029-10-08,Día del Respeto a la Diversidad Cultural,Day of Respect for Cultural Diversity,AR,False,True,,Public,
2029-11-20,Día de la Soberanía Nacional,National Sovereignty Day,AR,False,True,,Public,
2029-12-08,Día de la Inmaculada Concepción de María,Immaculate Conception Day,AR,False,True,,Public,
2029-12-25,Navidad,Christmas Day,AR,False,True,,Public,
