Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2029-01-01,New Year's Day,New Year's Day,AU,False,True,,Public,
2029-01-26,Australia Day,Australia Day,AU,False,True,,Public,
2029-03-05,Labour Day,Labour Day,AU,False,False,,Public,AU-WA
2029-03-12,Canberra Day,Canberra Day,AU,False,False,,Public,AU-ACT
2029-03-12,March Public Holiday,March Public Holiday,AU,False,False,,Public,AU-SA
2029-03-12,Eight Hours Day,Eight Hours Day,AU,False,False,,Public,AU-TAS
2029-03-12,Labour Day,Labour Day,AU,False,False,,Public,AU-VIC
2029-03-30,Good Friday,Good Friday,AU,False,True,,Public,
2029-03-31,Easter Eve,Holy Saturday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-NT,AU-QLD,AU-SA,AU-VIC"
2029-04-01,Easter Sunday,Easter Sunday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-NT,AU-QLD,AU-SA,AU-VIC,AU-WA"
2029-04-02,Easter Monday,Easter Monday,AU,False,True,,Public,
2029-04-25,Anzac Day,Anzac Day,AU,False,True,,Public,
2029-05-07,May Day,May Day,AU,False,False,,Public,AU-NT
2029-05-07,Labour Day,Labour Day,AU,False,False,,Public,AU-QLD
2029-05-28,Reconciliation Day,Reconciliation Day,AU,False,False,,Public,AU-ACT
2029-06-04,Western Australia Day,Western Australia Day,AU,False,False,,Public,AU-WA
2029-06-11,King's Birthday,King's Birthday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-NT,AU-SA,AU-TAS,AU-VIC"
2029-08-06,Picnic Day,Picnic Day,AU,False,False,,Public,AU-NT
2029-10-01,Labour Day,Labour Day,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-SA"
2029-10-01,King's Birthday,King's Birthday,AU,False,False,,Public,AU-QLD
2029-11-06,Melbourne Cup,Melbourne Cup,AU,False,False,,Public,AU-VIC
2029-12-25,Christmas Day,Christmas Day,AU,False,True,,Public,
2029-12-26,Boxing Day,St. Stephen's Day,AU,False,True,,Public,
