Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2020-01-01,Нова година,New Year's Day,BG,False,True,,Public,
2020-03-03,Ден на oсвобождението на България от Oсманско робство,Liberation Day,BG,False,True,,Public,
2020-04-17,Разпети петък,Good Friday,BG,False,True,,Public,
2020-04-18,Велика събота,Holy Saturday,BG,False,True,,Public,
2020-04-19,Великден,Easter Sunday,BG,False,True,,Public,
2020-04-20,Велики понеделник,Easter Monday,BG,False,True,,Public,
2020-05-01,Ден на труда и на международната работническа солидарност,International Workers' Day,BG,False,True,,Public,
2020-05-06,"Гергьовден, ден на храбростта и Българската армия",Saint George's Day,BG,False,True,,Public,
2020-05-24,Ден на Българската просвета и култура и на славянската писменост,Saints Cyril and Methodius Day,BG,False,True,,Public,
2020-09-06,Ден на съединението,Unification Day,BG,False,True,,Public,
2020-09-22,Ден на независимостта на България,Independence Day,BG,False,True,,Public,
2020-12-24,Бъдни вечер,Christmas Eve,BG,False,True,,Public,
2020-12-25,Рождество Христово,Christmas Day,BG,False,True,,Public,
2020-12-26,Рождество Христово,Second day of Christmas,BG,False,True,,Public,
