Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2021-01-01,Año Nuevo,New Year's Day,BO,False,True,,Public,
2021-02-02,Fiesta de la Virgen de Candelaria,Feast of the Virgin of Candelaria,BO,False,True,,Public,
2021-02-15,Feriado por Carnaval,Carnival,BO,False,True,,Public,
2021-02-16,Feriado por Carnaval,Carnival,BO,False,True,,Public,
2021-04-02,Viernes Santo,Good Friday,BO,False,True,,Public,
2021-05-01,Dia del trabajo,Labour Day,BO,False,True,,Public,
2021-06-03,Corpus Christi,Corpus Christi,BO,False,True,,Public,
2021-06-21,Año Nuevo Andino,Andean New Year,BO,False,True,,Public,
2021-08-02,Día de la Revolución Agraria,Agrarian Reform Day,BO,False,True,,Public,
2021-08-06,Dia de la Patria,Independence Day,BO,False,True,,Public,
2021-11-02,Todos Santos,All Saints' Day,BO,False,True,,Public,
2021-12-25,Navidad,Christmas Day,BO,False,True,,Public,
