Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2028-01-01,Confraternização Universal,New Year's Day,BR,False,True,,Public,
2028-02-28,Carnaval,Carnival,BR,False,True,,"Bank, Optional",
2028-02-29,Carnaval,Carnival,BR,False,True,,"Bank, Optional",
2028-04-14,Sexta-feira Santa,Good Friday,BR,False,True,,Public,
2028-04-16,Domingo de Páscoa,Easter Sunday,BR,False,True,,Public,
2028-04-21,Dia de Tiradentes,Tiradentes,BR,False,True,,Public,
2028-05-01,Dia do Trabalhador,Labour Day,BR,False,True,,Public,
2028-06-15,Corpus Christi,Corpus Christi,BR,False,True,,Public,
2028-07-09,Revolução Constitucionalista de 1932,Constitutionalist Revolution of 1932,BR,False,False,,Public,BR-SP
2028-09-07,Dia da Independência,Independence Day,BR,False,True,,Public,
2028-10-12,Nossa Senhora Aparecida,Our Lady of Aparecida,BR,False,True,,Public,
2028-11-02,Dia de Finados,All Souls' Day,BR,False,True,,Public,
2028-11-15,Proclamação da República,Republic Proclamation Day,BR,False,True,,Public,
2028-12-25,Natal,Christmas Day,BR,False,True,,Public,
