Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2023-01-01,New Year's Day,New Year's Day,BS,False,True,,Public,
2023-01-10,Majority Rule Day,Majority Rule Day,BS,False,True,,Public,
2023-04-01,Perry Christie Day,Perry Christie Day,BS,False,True,,Public,
2023-04-07,Good Friday,Good Friday,BS,False,True,,Public,
2023-04-10,Easter Monday,Easter Monday,BS,False,True,,Public,
2023-05-29,Whit Monday,Whit Monday,BS,False,True,,Public,
2023-07-10,Independence Day,Independence Day,BS,False,True,,Public,
2023-08-05,Emancipation Day,Emancipation Day,BS,False,True,,Public,
2023-10-12,National Heroes' Day,National Heroes' Day,BS,False,True,,Public,
2023-12-25,Christmas Day,Christmas Day,BS,False,True,,Public,
2023-12-26,Boxing Day,St. Stephen's Day,BS,False,True,,Public,
