Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2020-01-01,New Year's Day,New Year's Day,BZ,False,True,,Public,
2020-03-09,Baron Bliss Day,Baron Bliss Day,BZ,False,True,,Public,
2020-04-10,Good Friday,Good Friday,BZ,False,True,,Public,
2020-04-11,Holy Saturday,Holy Saturday,BZ,False,True,,Public,
2020-04-12,Easter Sunday,Easter Sunday,BZ,False,True,,Public,
2020-04-13,Easter Monday,Easter Monday,BZ,False,True,,Public,
2020-05-01,Labour Day,Labour Day,BZ,False,True,,Public,
2020-05-24,Commonwealth Day,Commonwealth Day,BZ,False,True,,Public,
2020-09-10,Saint George's Caye Day,Saint George's Caye Day,BZ,False,True,,Public,
2020-09-21,Independence Day,Independence Day,BZ,False,True,,Public,
2020-10-12,Day of the Americas,Day of the Americas,BZ,False,True,,Public,
2020-11-19,Garifuna Settlement Day,Garifuna Settlement Day,BZ,False,True,,Public,
2020-12-25,Christmas Day,Christmas Day,BZ,False,True,,Public,
2020-12-26,Boxing Day,Boxing Day,BZ,False,True,,Public,
