Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2029-01-01,New Year's Day,New Year's Day,CA,False,True,,Public,
2029-02-19,Louis Riel Day,Louis Riel Day,CA,False,False,,Public,CA-MB
2029-02-19,Islander Day,Islander Day,CA,False,False,,Public,CA-PE
2029-02-19,Heritage Day,Heritage Day,CA,False,False,,Public,CA-NS
2029-02-19,Family Day,Family Day,CA,False,False,,Public,"CA-AB,CA-BC,CA-NB,CA-ON,CA-SK"
2029-03-17,Saint Patrick's Day,Saint Patrick's Day,CA,False,False,,Public,CA-NL
2029-03-30,Good Friday,Good Friday,CA,False,True,,Public,
2029-04-02,Easter Monday,Easter Monday,CA,False,False,,Public,"CA-AB,CA-PE"
2029-04-23,Saint George's Day,Saint George's Day,CA,False,False,,Public,CA-NL
2029-05-21,National Patriots' Day,National Patriots' Day,CA,False,False,,Public,CA-QC
2029-05-21,Victoria Day,Victoria Day,CA,False,True,,Public,
2029-06-21,National Aboriginal Day,National Aboriginal Day,CA,False,False,,Public,CA-NT
2029-06-24,Discovery Day,Discovery Day,CA,False,False,,Public,CA-NL
2029-06-24,Fête nationale du Québec,National Holiday,CA,False,False,,Public,CA-QC
2029-07-01,Canada Day,Canada Day,CA,False,False,,Public,"CA-BC,CA-MB,CA-NB,CA-NL,CA-NS,CA-ON,CA-PE,CA-QC,CA-SK,CA-NT,CA-NU,CA-YT"
2029-07-02,Canada Day,Canada Day,CA,False,False,,Public,CA-AB
2029-07-12,Orangemen's Day,Orangemen's Day,CA,False,False,,Public,CA-NL
2029-08-06,Civic Holiday,Civic Holiday,CA,False,False,,Public,"CA-MB,CA-NL,CA-NT,CA-NU,CA-ON"
2029-08-06,British Columbia Day,British Columbia Day,CA,False,False,,Public,CA-BC
2029-08-06,Heritage Day,Heritage Day,CA,False,False,,Public,"CA-AB,CA-YT"
2029-08-06,New Brunswick Day,New Brunswick Day,CA,False,False,,Public,CA-NB
2029-08-06,Natal Day,Natal Day,CA,False,False,,Public,CA-NS
2029-08-06,Saskatchewan Day,Saskatchewan Day,CA,False,False,,Public,CA-SK
2029-08-20,Gold Cup Parade Day,Gold Cup Parade Day,CA,False,False,,Public,CA-PE
2029-08-20,Discovery Day,Discovery Day,CA,False,False,,Public,CA-YT
2029-09-03,Labour Day,Labour Day,CA,False,True,,Public,
2029-09-30,National Day for Truth and Reconciliation,National Day for Truth and Reconciliation,CA,False,True,,Public,
2029-10-08,Thanksgiving,Thanksgiving,CA,False,True,,Public,
2029-11-11,Armistice Day,Armistice Day,CA,False,False,,Public,CA-NL
2029-11-11,Remembrance Day,Remembrance Day,CA,False,False,,Public,"CA-AB,CA-BC,CA-NB,CA-NT,CA-NS,CA-NU,CA-PE,CA-SK,CA-YT"
2029-12-25,Christmas Day,Christmas Day,CA,False,True,,Public,
2029-12-26,Boxing Day,St. Stephen's Day,CA,False,False,,Public,"CA-AB,CA-NB,CA-NS,CA-ON,CA-PE"
