Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2024-01-01,Año Nuevo,New Year's Day,CR,False,True,,Public,
2024-03-28,Jueves Santo,Maundy Thursday,CR,False,True,,Public,
2024-03-29,Viernes Santo,Good Friday,CR,False,True,,Public,
2024-04-11,Día de Juan Santamaría,Juan Santamaría Day,CR,False,True,,Public,
2024-05-01,Día Internacional del Trabajo,Labour Day,CR,False,True,,Public,
2024-07-25,Anexión del Partido de Nicoya a Costa Rica,Annexation of the Party of Nicoya to Costa Rica,CR,False,True,,Public,
2024-08-02,Fiesta de Nuestra Señora de los Ángeles,Feast of Our Lady of the Angels,CR,False,True,,Public,
2024-08-15,Día de la Madre,Mother's Day,CR,False,True,,Public,
2024-09-15,Día de la Independencia,Independence Day,CR,False,True,,Public,
2024-12-01,Día de la Abolición del Ejército,Army Abolition Day,CR,False,True,,Public,
2024-12-25,Navidad,Christmas Day,CR,False,True,,Public,
