Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2020-01-01,Den obnovy samostatného českého státu; Nový rok,New Year's Day,CZ,False,True,,Public,
2020-04-10,Velký pátek,Good Friday,CZ,False,True,,Public,
2020-04-13,Velikonoční pondělí,Easter Monday,CZ,False,True,,Public,
2020-05-01,Svátek práce,Labour Day,CZ,False,True,,Public,
2020-05-08,Den vítězství,Liberation Day,CZ,False,True,,Public,
2020-07-05,Den slovanských věrozvěstů Cyrila a Metoděje,Saints Cyril and Methodius Day,CZ,False,True,,Public,
2020-07-06,Den upálení mistra Jana Husa,Jan Hus Day,CZ,False,True,,Public,
2020-09-28,Den české státnosti,St. Wenceslas Day,CZ,False,True,,Public,
2020-10-28,Den vzniku samostatného československého státu,Independent Czechoslovak State Day,CZ,False,True,,Public,
2020-11-17,Den boje za svobodu a demokracii a Mezinárodní den studentstva,Struggle for Freedom and Democracy Day,CZ,False,True,,Public,
2020-12-24,Štědrý den,Christmas Eve,CZ,False,True,,Public,
2020-12-25,1. svátek vánoční,Christmas Day,CZ,False,True,,Public,
2020-12-26,2. svátek vánoční,St. Stephen's Day,CZ,False,True,,Public,
