Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2028-01-01,Neujahr,New Year's Day,DE,False,True,,Public,
2028-01-06,Heilige Drei Könige,Epiphany,DE,False,False,,Public,"DE-BW,DE-BY,DE-ST"
2028-03-08,Internationaler Frauentag,International Women's Day,DE,False,False,,Public,"DE-BE,DE-MV"
2028-04-14,Karfreitag,Good Friday,DE,False,True,,Public,
2028-04-16,Ostersonntag,Easter Sunday,DE,False,False,,Public,DE-BB
2028-04-17,Ostermontag,Easter Monday,DE,False,True,,Public,
2028-05-01,Tag der Arbeit,Labour Day,DE,False,True,,Public,
2028-05-25,Christi Himmelfahrt,Ascension Day,DE,False,True,,Public,
2028-06-04,Pfingstsonntag,Pentecost,DE,False,False,,Public,"DE-BB,DE-HE"
2028-06-05,Pfingstmontag,Whit Monday,DE,False,True,,Public,
2028-06-15,Fronleichnam,Corpus Christi,DE,False,False,,Public,"DE-BW,DE-BY,DE-HE,DE-NW,DE-RP,DE-SL"
2028-08-15,Mariä Himmelfahrt,Assumption Day,DE,False,False,,Public,DE-SL
2028-09-20,Weltkindertag,World Children's Day,DE,False,False,,Public,DE-TH
2028-10-03,Tag der Deutschen Einheit,German Unity Day,DE,False,True,,Public,
2028-10-31,Reformationstag,Reformation Day,DE,False,False,,Public,"DE-BB,DE-MV,DE-SN,DE-ST,DE-TH,DE-HB,DE-HH,DE-NI,DE-SH"
2028-11-01,Allerheiligen,All Saints' Day,DE,False,False,,Public,"DE-BW,DE-BY,DE-NW,DE-RP,DE-SL"
2028-11-22,Buß- und Bettag,Repentance and Prayer Day,DE,False,False,,Public,DE-SN
2028-12-25,Erster Weihnachtstag,Christmas Day,DE,False,True,,Public,
2028-12-26,Zweiter Weihnachtstag,St. Stephen's Day,DE,False,True,,Public,
