Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2026-01-01,Nytårsdag,New Year's Day,DK,False,True,,Public,
2026-04-02,Skærtorsdag,Maundy Thursday,DK,False,True,,Public,
2026-04-03,Langfredag,Good Friday,DK,False,True,,Public,
2026-04-05,Påskedag,Easter Sunday,DK,False,True,,Public,
2026-04-06,2. Påskedag,Easter Monday,DK,False,True,,Public,
2026-05-14,Kristi Himmelfartsdag,Ascension Day,DK,False,True,,Public,
2026-05-15,Banklukkedag,Bank closing day,DK,False,True,,"Bank, School, Optional",
2026-05-24,Pinsedag,Pentecost,DK,False,True,,Public,
2026-05-25,2. Pinsedag,Whit Monday,DK,False,True,,Public,
2026-06-05,Grundlovsdag,Constitution Day,DK,False,True,,"Bank, School, Optional",
2026-12-24,Juleaftensdag,Christmas Eve,DK,False,True,,"Bank, School, Optional",
2026-12-25,Juledag / 1. juledag,Christmas Day,DK,False,True,,Public,
2026-12-26,2. juledag,St. Stephen's Day,DK,False,True,,Public,
2026-12-31,Nytårsaftensdag,New Year's Eve,DK,False,True,,"Bank, School, Optional",
