Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2021-01-01,New Year's Day,New Year's Day,DO,False,True,,Public,
2021-01-06,Dia de Reyes,Day of Kings,DO,False,True,,Public,
2021-01-21,Our Lady of Altagracia,Our Lady of Altagracia,DO,False,True,,Public,
2021-01-26,Duarte's Birthday,Duarte's Birthday,DO,False,True,,Public,
2021-02-27,Independence Day,Independence Day,DO,False,True,,Public,
2021-04-02,Good Friday,Good Friday,DO,False,True,,Public,
2021-05-01,Labour Day,Labour Day,DO,False,True,,Public,
2021-05-28,Mother's Day,Mother's Day,DO,False,True,,Public,
2021-06-03,Corpus Christi,Corpus Christi,DO,False,True,,Public,
2021-08-16,Restoration Day,Restoration Day,DO,False,True,,Public,
2021-09-24,Nuestra Senora de las Mercedes,Our Lady of Mercy,DO,False,True,,Public,
2021-11-06,Constitution Day,Constitution Day,DO,False,True,,Public,
2021-12-25,Christmas Day,Christmas Day,DO,False,True,,Public,
