Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2019-01-01,uusaasta,New Year's Day,EE,False,True,,Public,
2019-02-24,iseseisvuspäev,Independence Day,EE,False,True,,Public,
2019-04-19,suur reede,Good Friday,EE,False,True,,Public,
2019-04-21,ülestõusmispühade 1. püha,Easter Sunday,EE,False,True,,Public,
2019-05-01,kevadpüha,Spring Day,EE,False,True,,Public,
2019-06-09,nelipühade 1. püha,Pentecost,EE,False,True,,Public,
2019-06-23,võidupüha and jaanilaupäev,Victory Day,EE,False,True,,Public,
2019-06-24,jaanipäev,Midsummer Day,EE,False,True,,Public,
2019-08-20,taasiseseisvumispäev,Day of Restoration of Independence,EE,False,True,,Public,
2019-12-24,jõululaupäev,Christmas Eve,EE,False,True,,Public,
2019-12-25,esimene jõulupüha,Christmas Day,EE,False,True,,Public,
2019-12-26,teine jõulupüha,St. Stephen's Day,EE,False,True,,Public,
