Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2023-01-01,Uudenvuodenpäivä,New Year's Day,FI,False,True,,Public,
2023-01-06,Loppiainen,Epiphany,FI,False,True,,Public,
2023-04-07,Pitkäperjantai,Good Friday,FI,False,True,,Public,
2023-04-09,Pääsiäispäivä,Easter Sunday,FI,False,True,,Public,
2023-04-10,Toinen pääsiäispäivä,Easter Monday,FI,False,True,,Public,
2023-05-01,Vappu,May Day,FI,False,True,,Public,
2023-05-18,Helatorstai,Ascension Day,FI,False,True,,Public,
2023-05-28,Helluntaipäivä,Pentecost,FI,False,True,,Public,
2023-06-23,Juhannusaatto,Midsummer Eve,FI,False,True,,Public,
2023-06-24,Juhannuspäivä,Midsummer Day,FI,False,True,,Public,
2023-11-04,Pyhäinpäivä,All Saints' Day,FI,False,True,,Public,
2023-12-06,Itsenäisyyspäivä,Independence Day,FI,False,True,,Public,
2023-12-24,Jouluaatto,Christmas Eve,FI,False,True,,Public,
2023-12-25,Joulupäivä,Christmas Day,FI,False,True,,Public,
2023-12-26,Tapaninpäivä,St. Stephen's Day,FI,False,True,,Public,
