Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2023-01-01,Nýggjársdagur,New Year's Day,FO,False,True,,Public,
2023-04-06,Skírhósdagur,Maundy Thursday,FO,False,True,,Public,
2023-04-07,Langifríggjadagur,Good Friday,FO,False,True,,Public,
2023-04-09,Páskadagur,Easter Sunday,FO,False,True,,Public,
2023-04-10,2. Páskadagur,Easter Monday,FO,False,True,,Public,
2023-04-25,Flaggdagur,National Flag Day,FO,False,True,,Public,
2023-05-05,Dýri biðidagur,General Prayer Day,FO,False,True,,Public,
2023-05-05,Dýri biðidagur,General Prayer Day,FO,False,True,,Public,
2023-05-18,Kristi himmalsferðar dagur,Ascension Day,FO,False,True,,Public,
2023-05-28,Hvítasunnudagur,Pentecost,FO,False,True,,Public,
2023-05-29,2. Hvítasunnudagur,Whit Monday,FO,False,True,,Public,
2023-06-05,Grundlógardagur Danmarkar,Constitution Day,FO,False,True,,Public,
2023-07-28,Ólavsøkuaftan,Saint Olav's Eve,FO,False,True,,Public,
2023-07-29,Ólavsøkudagur,Saint Olav's Day,FO,False,True,,Public,
2023-12-24,Jólaaftanskvøld,Christmas Eve,FO,False,True,,Public,
2023-12-25,Jóladagur,Christmas Day,FO,False,True,,Public,
2023-12-26,2. Jóladagur,St. Stephen's Day,FO,False,True,,Public,
2023-12-31,Nýggjársaftan,New Year's Eve,FO,False,True,,Public,
