Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2024-01-01,New Year's Day,New Year's Day,GA,False,True,,Public,
2024-03-12,Renovation Day,Renovation Day,GA,False,True,,Public,
2024-04-01,Easter Monday,Easter Monday,GA,False,True,,Public,
2024-04-17,Women's Day,Women's Day,GA,False,True,,Public,
2024-05-01,Labour Day,Labour Day,GA,False,True,,Public,
2024-05-06,Martyr's Day,Martyr's Day,GA,False,True,,Public,
2024-05-20,Whit Monday,Whit Monday,GA,False,True,,Public,
2024-08-15,Assumption Day,Assumption Day,GA,False,True,,Public,
2024-08-17,Independence Day,Independence Day,GA,False,True,,Public,
2024-11-01,All Saints' Day,All Saints' Day,GA,False,True,,Public,
2024-12-25,Božić,Christmas Day,GA,False,True,,Public,
