Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2027-01-01,New Year's Day,New Year's Day,GB,False,False,,Public,GB-NIR
2027-01-01,New Year's Day,New Year's Day,GB,False,False,,Public,"GB-ENG,GB-WLS"
2027-01-01,New Year's Day,New Year's Day,GB,False,False,,Public,GB-SCT
2027-01-02,2 January,2 January,GB,False,False,,Public,GB-SCT
2027-03-17,Saint Patrick's Day,Saint Patrick's Day,GB,False,False,,Public,GB-NIR
2027-03-26,Good Friday,Good Friday,GB,False,True,,Public,
2027-03-29,Easter Monday,Easter Monday,GB,False,False,,Public,"GB-ENG,GB-WLS,GB-NIR"
2027-05-03,Early May Bank Holiday,Early May Bank Holiday,GB,False,True,,Public,
2027-05-31,Spring Bank Holiday,Spring Bank Holiday,GB,False,True,,Public,
2027-07-12,Battle of the Boyne,Battle of the Boyne,GB,False,False,,Public,GB-NIR
2027-08-02,Summer Bank Holiday,Summer Bank Holiday,GB,False,False,,Public,GB-SCT
2027-08-30,Summer Bank Holiday,Summer Bank Holiday,GB,False,False,,Public,"GB-ENG,GB-WLS,GB-NIR"
2027-11-30,Saint Andrew's Day,Saint Andrew's Day,GB,False,False,,Public,GB-SCT
2027-12-25,Christmas Day,Christmas Day,GB,False,True,,Public,
2027-12-26,Boxing Day,St. Stephen's Day,GB,False,True,,Public,
