Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2027-01-01,New Year's Day,New Year's Day,GD,False,True,,Public,
2027-02-07,Independence Day,Independence Day,GD,False,True,,Public,
2027-03-26,Good Friday,Good Friday,GD,False,True,,Public,
2027-03-29,Easter Monday,Easter Monday,GD,False,True,,Public,
2027-05-01,Labour Day,Labour Day,GD,False,True,,Public,
2027-05-01,Indian Arrival Day,Indian Arrival Day,GD,False,True,,Public,
2027-05-17,Whit Monday,Whit Monday,GD,False,True,,Public,
2027-05-27,Corpus Christi,Corpus Christi,GD,False,True,,Public,
2027-08-02,Emancipation Day,Emancipation Day,GD,False,True,,Public,
2027-08-11,Carnival,Carnival,GD,False,True,,Public,
2027-10-25,Thanksgiving Day,Thanksgiving Day,GD,False,True,,Public,
2027-12-25,Christmas Day,Christmas Day,GD,False,True,,Public,
2027-12-26,Boxing Day,Boxing Day,GD,False,True,,Public,
