Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2024-01-01,New Year's Day,New Year's Day,GI,False,True,,Public,
2024-03-11,Commonwealth Day,Commonwealth Day,GI,False,True,,Public,
2024-03-29,Good Friday,Good Friday,GI,False,True,,Public,
2024-04-01,Easter Monday,Easter Monday,GI,False,True,,Public,
2024-04-28,Workers' Memorial Day,Workers' Memorial Day,GI,False,True,,Public,
2024-05-01,May Day Bank Holiday,May Day Bank Holiday,GI,False,True,,Public,
2024-05-27,Spring Bank Holiday,Spring Bank Holiday,GI,False,True,,Public,
2024-06-10,Queen's Birthday,Queen's Birthday,GI,False,True,,Public,
2024-08-26,Summer Bank Holiday,Summer Bank Holiday,GI,False,True,,Public,
2024-09-10,Gibraltar National Day,Gibraltar National Day,GI,False,True,,Public,
2024-12-25,Christmas Day,Christmas Day,GI,False,True,,Public,
2024-12-26,St. Stephen's Day,Boxing Day,GI,False,True,,Public,
