Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2019-01-01,Ukiortaaq,New Year's Day,GL,False,True,,Public,
2019-01-06,Kunngit pingasut ulluat,Epiphany,GL,False,True,,"Bank, School, Optional",
2019-04-18,Sisamanngortoq illernartoq,Maundy Thursday,GL,False,True,,Public,
2019-04-19,Tallimanngorneq tannaartoq,Good Friday,GL,False,True,,Public,
2019-04-21,Poorskip ullua,Easter Sunday,GL,False,True,,Public,
2019-04-22,Poorskip-aappaa,Easter Monday,GL,False,True,,Public,
2019-05-17,Tussiarfik,General Prayer Day,GL,False,True,,Public,
2019-05-30,Qilaliarfik,Ascension Day,GL,False,True,,Public,
2019-05-31,Atuanngiffik,Bank closing day,GL,False,True,,"Bank, School, Optional",
2019-06-09,Piinsi,Pentecost,GL,False,True,,Public,
2019-06-10,Piinsip-aappaa,Whit Monday,GL,False,True,,Public,
2019-06-21,Ullortuneq,Ullortuneq,GL,False,True,,Public,
2019-12-24,Juulliaraq,Christmas Eve,GL,False,True,,"Bank, School, Optional",
2019-12-25,Juullip ullua,Christmas Day,GL,False,True,,Public,
2019-12-26,Juullip-aappaa,St. Stephen's Day,GL,False,True,,Public,
2019-12-31,Ukiutoqaq,New Year's Eve,GL,False,True,,"Bank, School, Optional",
