Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2022-01-01,Πρωτοχρονιά,New Year's Day,GR,False,True,,Public,
2022-01-06,Θεοφάνεια,Epiphany,GR,False,True,,Public,
2022-03-07,Καθαρά Δευτέρα,Clean Monday,GR,False,True,,Public,
2022-03-25,Ευαγγελισμός της Θεοτόκου,Annunciation,GR,False,True,,Public,
2022-03-25,Εικοστή Πέμπτη Μαρτίου,Independence Day,GR,False,True,,Public,
2022-04-22,Μεγάλη Παρασκευή,Good Friday,GR,False,True,,Public,
2022-04-24,Κυριακή του Πάσχα,Easter Sunday,GR,False,True,,Public,
2022-04-25,Δευτέρα του Πάσχα,Easter Monday,GR,False,True,,Public,
2022-05-01,Εργατική Πρωτομαγιά,Labour Day,GR,False,True,,Public,
2022-06-12,Πεντηκοστή,Pentecost,GR,False,True,,Public,
2022-06-13,Δευτέρα Πεντηκοστής,Whit Monday,GR,False,True,,Public,
2022-08-15,Κοίμηση της Θεοτόκου,Assumption Day,GR,False,True,,Public,
2022-10-28,Το Όχι,Ochi Day,GR,False,True,,Public,
2022-12-25,Χριστούγεννα,Christmas Day,GR,False,True,,Public,
2022-12-26,Σύναξις Υπεραγίας Θεοτόκου Μαρίας,St. Stephen's Day,GR,False,True,,Public,
