Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2027-01-01,New Year's Day,New Year's Day,HN,False,True,,Public,
2027-03-25,Holy Thursday,Maundy Thursday,HN,False,True,,Public,
2027-03-26,Good Friday,Good Friday,HN,False,True,,Public,
2027-03-27,Holy Saturday,Holy Saturday,HN,False,True,,Public,
2027-04-14,America's Day,America's Day,HN,False,True,,Public,
2027-05-01,Labour Day,Labour Day,HN,False,True,,Public,
2027-09-15,Independence Day,Independence Day,HN,False,True,,Public,
2027-10-03,Francisco Morazán's Day/Soldier's Day,Francisco Morazán's Day/Soldier's Day,HN,False,True,,Public,
2027-10-12,Columbus Day,Columbus Day,HN,False,True,,Public,
2027-10-21,Army Day,Army Day,HN,False,True,,Public,
2027-12-25,Navidad,Christmas Day,HN,False,True,,Public,
