Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2025-01-01,Nova Godina,New Year's Day,HR,False,True,,Public,
2025-01-06,"Bogojavljenje, Sveta tri kralja",Epiphany,HR,False,True,,Public,
2025-04-20,Uskrs i uskrsni ponedjeljak,Easter Sunday,HR,False,True,,Public,
2025-04-21,Uskrs i uskrsni ponedjeljak,Easter Monday,HR,False,True,,Public,
2025-05-01,Međunarodni praznik rada,International Workers' Day,HR,False,True,,Public,
2025-05-30,Dan državnosti,National Day,HR,False,True,,Public,
2025-06-19,Tijelovo,Corpus Christi,HR,False,True,,Public,
2025-06-22,Dan antifašističke borbe,Anti-Fascist Struggle Day,HR,False,True,,Public,
2025-08-05,Dan pobjede i domovinske zahvalnosti i Dan hrvatskih branitelja,Victory and Homeland Thanksgiving Day and the Day of Croatian defenders,HR,False,True,,Public,
2025-08-15,Velika Gospa,Assumption Day,HR,False,True,,Public,
2025-11-01,Dan svih svetih,All Saints' Day,HR,False,True,,Public,
2025-11-18,Dan sjećanja na žrtve Domovinskog rata,Remembrance Day,HR,False,True,,Public,
2025-12-25,Božić,Christmas Day,HR,False,True,,Public,
2025-12-26,"Prvi dan po Božiću, Sveti Stjepan, Štefanje, Stipanje",St. Stephen's Day,HR,False,True,,Public,
