Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2019-01-01,Újév,New Year's Day,HU,False,True,,Public,
2019-03-15,Nemzeti ünnep,1848 Revolution Memorial Day,HU,False,True,,Public,
2019-04-19,Nagypéntek,Good Friday,HU,False,True,,Public,
2019-04-21,Húsvétvasárnap,Easter Sunday,HU,False,True,,Public,
2019-04-22,Húsvéthétfő,Easter Monday,HU,False,True,,Public,
2019-05-01,A munka ünnepe,Labour day,HU,False,True,,Public,
2019-06-09,Pünkösdvasárnap,Pentecost,HU,False,True,,Public,
2019-06-10,Pünkösdhétfő,Whit Monday,HU,False,True,,Public,
2019-08-20,Az államalapítás ünnepe,State Foundation Day,HU,False,True,,Public,
2019-10-23,Nemzeti ünnep,1956 Revolution Memorial Day,HU,False,True,,Public,
2019-11-01,Mindenszentek,All Saints Day,HU,False,True,,Public,
2019-12-25,Karácsony,Christmas Day,HU,False,True,,Public,
2019-12-26,Karácsony másnapja,St. Stephen's Day,HU,False,True,,Public,
