Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2027-01-01,New Year's Day,New Year's Day,IM,False,True,,Public,
2027-03-26,Good Friday,Good Friday,IM,False,True,,Public,
2027-03-29,Easter Monday,Easter Monday,IM,False,True,,Public,
2027-05-03,Early May Bank Holiday,Early May Bank Holiday,IM,False,True,,Public,
2027-05-31,Spring Bank Holiday,Spring Bank Holiday,IM,False,True,,Public,
2027-06-11,Senior Race Day,Senior Race Day,IM,False,True,,Public,
2027-07-05,Tynwald Day,Tynwald Day,IM,False,True,,Public,
2027-08-30,Late Summer Bank Holiday,Late Summer Bank Holiday,IM,False,True,,Public,
2027-12-25,Christmas Day,Christmas Day,IM,False,True,,Public,
2027-12-26,St. Stephen's Day,Boxing Day,IM,False,True,,Public,
