Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2020-01-01,Nýársdagur,New Year's Day,IS,False,True,,Public,
2020-04-09,Skírdagur,Maundy Thursday,IS,False,True,,Public,
2020-04-10,Föstudagurinn langi,Good Friday,IS,False,True,,Public,
2020-04-12,Páskadagur,Easter Sunday,IS,False,True,,Public,
2020-04-13,Annar í páskum,Easter Monday,IS,False,True,,Public,
2020-04-23,Sumardagurinn fyrsti,First Day of Summer,IS,False,True,,Public,
2020-05-01,Verkalýðsdagurinn,May Day,IS,False,True,,Public,
2020-05-21,Uppstigningardagur,Ascension Day,IS,False,True,,Public,
2020-05-31,Hvítasunnudagur,Pentecost,IS,False,True,,Public,
2020-06-01,Annar í hvítasunnu,Whit Monday,IS,False,True,,Public,
2020-06-17,Þjóðhátíðardagurinn,Icelandic National Day,IS,False,True,,Public,
2020-08-03,Frídagur verslunarmanna,Commerce Day,IS,False,True,,Public,
2020-12-24,Aðfangadagur,Christmas Eve,IS,False,True,,Public,
2020-12-25,Jóladagur,Christmas Day,IS,False,True,,Public,
2020-12-26,Annar í jólum,St. Stephen's Day,IS,False,True,,Public,
2020-12-31,Gamlársdagur,New Year's Eve,IS,False,True,,Public,
