Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2022-01-01,새해,New Year's Day,KR,False,True,,Public,
2022-01-31,설날,Lunar New Year,KR,False,True,,Public,
2022-02-01,설날,Lunar New Year,KR,False,True,,Public,
2022-02-02,설날,Lunar New Year,KR,False,True,,Public,
2022-03-01,3·1절,Independence Movement Day,KR,False,True,,Public,
2022-05-05,어린이날,Children's Day,KR,False,True,,Public,
2022-05-08,부처님 오신 날,Buddha's Birthday,KR,False,True,,Public,
2022-06-06,현충일,Memorial Day,KR,False,True,,Public,
2022-08-15,광복절,Liberation Day,KR,False,True,,Public,
2022-09-09,추석,Chuseok,KR,False,True,,Public,
2022-09-10,추석,Chuseok,KR,False,True,,Public,
2022-09-12,추석,Chuseok,KR,False,True,,Public,
2022-10-03,개천절,National Foundation Day,KR,False,True,,Public,
2022-10-09,한글날,Hangul Day,KR,False,True,,Public,
2022-12-25,크리스마스,Christmas Day,KR,False,True,,Public,
