Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2021-01-01,Neujahr,New Year's Day,LI,False,True,,Public,
2021-01-02,Berchtoldstag,St. Berchtold's Day,LI,False,True,,Bank,
2021-01-06,Heilige Drei Könige,Epiphany,LI,False,True,,Public,
2021-02-02,Mariä Lichtmess,Candlemas,LI,False,True,,Public,
2021-02-16,Fasnachtsdienstag,Shrove Tuesday,LI,False,True,,Bank,
2021-03-19,Josefstag,Saint Joseph's Day,LI,False,True,,Public,
2021-04-02,Karfreitag,Good Friday,LI,False,True,,Bank,
2021-04-05,Ostermontag,Easter Monday,LI,False,True,,Public,
2021-05-01,Tag der Arbeit,Labour Day,LI,False,True,,Public,
2021-05-13,Auffahrt,Ascension Day,LI,False,True,,Public,
2021-05-23,Pfingstsonntag,Pentecost,LI,False,True,,Public,
2021-05-24,Pfingstmontag,Whit Monday,LI,False,True,,Public,
2021-06-03,Fronleichnam,Corpus Christi,LI,False,True,,Public,
2021-08-15,Staatsfeiertag,National Holiday,LI,False,True,,Public,
2021-09-08,Maria Geburt,Nativity of Our Lady,LI,False,True,,Public,
2021-11-01,Allerheiligen,All Saints Day,LI,False,True,,Public,
2021-12-08,Mariä Empfängnis,Immaculate Conception,LI,False,True,,Public,
2021-12-24,Heiliger Abend,Christmas Eve,LI,False,True,,Bank,
2021-12-25,Weihnachten,Christmas Day,LI,False,True,,Public,
2021-12-26,Stephanstag,St. Stephen's Day,LI,False,True,,Public,
2021-12-31,Silvester,New Year's Eve,LI,False,True,,Bank,
