Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2023-01-01,Neijoerschdag,New Year's Day,LU,False,True,,Public,
2023-04-07,Karfreideg,Good Friday,LU,False,True,,Bank,
2023-04-10,Ouschterméindeg,Easter Monday,LU,False,True,,Public,
2023-05-01,Dag vun der Aarbecht,Labour Day,LU,False,True,,Public,
2023-05-09,Europadag,Europe Day,LU,False,True,,Public,
2023-05-18,Christi Himmelfaart,Ascension Day,LU,False,True,,Public,
2023-05-29,Péngschtméindeg,Whit Monday,LU,False,True,,Public,
2023-06-23,Groussherzogsgebuertsdag,Sovereign's birthday,LU,False,True,,Public,
2023-08-15,Léiffrawëschdag,Assumption Day,LU,False,True,,Public,
2023-11-01,Allerhellgen,All Saints' Day,LU,False,True,,Public,
2023-12-25,Chrëschtdag,Christmas Day,LU,False,True,,Public,
2023-12-26,Stiefesdag,St. Stephen's Day,LU,False,True,,Public,
