Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2024-01-01,Ras l' âm,New Year's Day,MA,False,True,,Public,
2024-01-11,Takdim watikat al-istiqlal,Proclamation of Independence,MA,False,True,,Public,
2024-01-14,Id Yennayer,Amazigh New Year,MA,False,True,,Public,
2024-05-01,Eid Ash-Shughl,Labour Day,MA,False,True,,Public,
2024-07-30,Eid Al-Ârch,Enthronement,MA,False,True,,Public,
2024-08-14,Oued Ed-Dahab Day,Zikra Oued Ed-Dahab,MA,False,True,,Public,
2024-08-20,Thawrat al malik wa shâab,Revolution of the King and the People,MA,False,True,,Public,
2024-08-21,Eid Al Chabab,Youth Day,MA,False,True,,Public,
2024-11-06,Eid Al Massira Al Khadra,Green March,MA,False,True,,Public,
2024-11-18,Eid Al Istiqulal,Independence Day,MA,False,True,,Public,
