Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2028-01-01,New Year's Day,New Year's Day,MS,False,True,,Public,
2028-03-17,Saint Patrick's Day,Saint Patrick's Day,MS,False,True,,Public,
2028-04-14,Good Friday,Good Friday,MS,False,True,,Public,
2028-04-17,Easter Monday,Easter Monday,MS,False,True,,Public,
2028-05-01,Labour Day,Labour Day,MS,False,True,,Public,
2028-06-05,Whit Monday,Whit Monday,MS,False,True,,Public,
2028-06-12,Queen's Birthday,Queen's Birthday,MS,False,True,,Public,
2028-08-07,Emancipation Day,Emancipation Day,MS,False,True,,Public,
2028-12-25,Christmas Day,Christmas Day,MS,False,True,,Public,
2028-12-26,St. Stephen's Day,Boxing Day,MS,False,True,,Public,
2028-12-31,Festival Day,Festival Day,MS,False,True,,Public,
