Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2024-01-01,Año Nuevo,New Year's Day,MX,False,True,,Public,
2024-02-05,Día de la Constitución,Constitution Day,MX,False,True,,Public,
2024-03-18,Natalicio de Benito Juárez,Benito Juárez's birthday,MX,False,True,,Public,
2024-03-28,Jueves Santo,Maundy Thursday,MX,False,True,,"Bank, School, Authorities",
2024-03-29,Viernes Santo,Good Friday,MX,False,True,,"Bank, School, Authorities",
2024-05-01,Día del Trabajo,Labor Day,MX,False,True,,Public,
2024-09-16,Día de la Independencia,Independence Day,MX,False,True,,Public,
2024-10-01,Transmisión del Poder Ejecutivo Federal,Inauguration Day,MX,False,True,,Public,
2024-11-18,Día de la Revolución,Revolution Day,MX,False,True,,Public,
2024-12-25,Navidad,Christmas Day,MX,False,True,,Public,
