Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2022-01-01,Nieuwjaarsdag,New Year's Day,NL,False,True,,Public,
2022-04-15,Goede Vrijdag,Good Friday,NL,False,True,,Public,
2022-04-17,Eerste Paasdag,Easter Sunday,NL,False,True,,Public,
2022-04-18,Tweede Paasdag,Easter Monday,NL,False,True,,Public,
2022-04-27,Koningsdag,King's Day,NL,False,True,,Public,
2022-05-05,Bevrijdingsdag,Liberation Day,NL,False,True,,"School, Authorities",
2022-05-26,Hemelvaartsdag,Ascension Day,NL,False,True,,Public,
2022-06-05,Eerste Pinksterdag,Pentecost,NL,False,True,,Public,
2022-06-06,Tweede Pinksterdag,Whit Monday,NL,False,True,,Public,
2022-12-25,Eerste Kerstdag,Christmas Day,NL,False,True,,Public,
2022-12-26,Tweede Kerstdag,St. Stephen's Day,NL,False,True,,Public,
