Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2020-01-01,Første nyttårsdag,New Year's Day,NO,False,True,,Public,
2020-04-09,Skjærtorsdag,Maundy Thursday,NO,False,True,,Public,
2020-04-10,Langfredag,Good Friday,NO,False,True,,Public,
2020-04-12,Første påskedag,Easter Sunday,NO,False,True,,Public,
2020-04-13,Andre påskedag,Easter Monday,NO,False,True,,Public,
2020-05-01,Første mai,Labour Day,NO,False,True,,Public,
2020-05-17,Syttende mai,Constitution Day,NO,False,True,,Public,
2020-05-21,Kristi himmelfartsdag,Ascension Day,NO,False,True,,Public,
2020-05-31,Første pinsedag,Pentecost,NO,False,True,,Public,
2020-06-01,Andre pinsedag,Whit Monday,NO,False,True,,Public,
2020-12-25,Første juledag,Christmas Day,NO,False,True,,Public,
2020-12-26,Andre juledag,St. Stephen's Day,NO,False,True,,Public,
