Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2029-01-01,New Year's Day,New Year's Day,PA,False,True,,Public,
2029-01-09,Martyr's Day,Martyr's Day,PA,False,True,,Public,
2029-02-12,Carnival,Carnival,PA,False,True,,Public,
2029-02-13,Carnival,Carnival,PA,False,True,,Public,
2029-03-30,Good Friday,Good Friday,PA,False,True,,Public,
2029-05-01,Labour Day,Labour Day,PA,False,True,,Public,
2029-11-03,Separation Day,Separation Day,PA,False,True,,Public,
2029-11-04,Flag Day,Flag Day,PA,False,True,,Public,
2029-11-05,Colón Day,Colon Day,PA,False,True,,Public,
2029-11-10,Shout in Villa de los Santos,Shout in Villa de los Santos,PA,False,True,,Public,
2029-11-28,Independence Day,Independence Day,PA,False,True,,Public,
2029-12-08,Mothers' Day,Mothers' Day,PA,False,True,,Public,
2029-12-25,Christmas Day,Christmas Day,PA,False,True,,Public,
