Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2019-01-01,New Year's Day,New Year's Day,PG,False,True,,Public,
2019-04-19,Good Friday,Good Friday,PG,False,True,,Public,
2019-04-20,Holy Saturday,Holy Saturday,PG,False,True,,Public,
2019-04-21,Easter Sunday,Easter Sunday,PG,False,True,,Public,
2019-04-22,Easter Monday,Easter Monday,PG,False,True,,Public,
2019-06-10,Queen's Birthday,Queen's Birthday,PG,False,True,,Public,
2019-07-23,Remembrance Day,Remembrance Day,PG,False,True,,Public,
2019-08-26,Repentance Day,Repentance Day,PG,False,True,,Public,
2019-09-16,Independence Day,Independence Day,PG,False,True,,Public,
2019-12-25,Christmas Day,Christmas Day,PG,False,True,,Public,
2019-12-26,St. Stephen's Day,Boxing Day,PG,False,True,,Public,
