Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2026-01-01,Nova Godina,New Year's Day,RS,False,True,,Public,
2026-01-02,Nova Godina,New Year's Day,RS,False,True,,Public,
2026-01-07,Božić,Christmas Day,RS,False,True,,Public,
2026-02-15,Dan državnosti Srbije,Statehood Day,RS,False,True,,Public,
2026-02-16,Dan državnosti Srbije,Statehood Day,RS,False,True,,Public,
2026-04-10,Veliki petak,Good Friday,RS,False,True,,Public,
2026-04-12,Vaskrs (Uskrs),Easter Sunday,RS,False,True,,Public,
2026-04-13,Vaskrsni (Uskrsni) ponedeljak,Easter Monday,RS,False,True,,Public,
2026-05-01,Praznik rada,Labour Day,RS,False,True,,Public,
2026-05-02,Praznik rada,Labour Day,RS,False,True,,Public,
2026-11-11,Dan primirja,Armistice Day,RS,False,True,,Public,
