Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2028-01-01,Nyårsdagen,New Year's Day,SE,False,True,,Public,
2028-01-06,Trettondedag jul,Epiphany,SE,False,True,,Public,
2028-04-14,Långfredagen,Good Friday,SE,False,True,,Public,
2028-04-16,Påskdagen,Easter Sunday,SE,False,True,,Public,
2028-04-17,Annandag påsk,Easter Monday,SE,False,True,,Public,
2028-05-01,Första maj,International Workers' Day,SE,False,True,,Public,
2028-05-25,Kristi himmelsfärdsdag,Ascension Day,SE,False,True,,Public,
2028-06-04,Pingstdagen,Pentecost,SE,False,True,,Public,
2028-06-06,Sveriges nationaldag,National Day of Sweden,SE,False,True,,Public,
2028-06-23,Midsommarafton,Midsummer Eve,SE,False,True,,Public,
2028-06-24,Midsommardagen,Midsummer Day,SE,False,True,,Public,
2028-11-04,Alla helgons dag,All Saints' Day,SE,False,True,,Public,
2028-12-24,Julafton,Christmas Eve,SE,False,True,,Public,
2028-12-25,Juldagen,Christmas Day,SE,False,True,,Public,
2028-12-26,Annandag jul,St. Stephen's Day,SE,False,True,,Public,
2028-12-31,Nyårsafton,New Year's Eve,SE,False,True,,Public,
