Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2025-01-01,New Year's Day,New Year's Day,SG,False,True,,Public,
2025-01-29,Chinese New Year,Chinese New Year,SG,False,True,,Public,
2025-01-30,Chinese New Year,Chinese New Year,SG,False,True,,Public,
2025-03-31,Hari Raya Puasa,Hari Raya Puasa,SG,False,True,,Public,
2025-04-18,Good Friday,Good Friday,SG,False,True,,Public,
2025-05-01,Labour Day,Labour Day,SG,False,True,,Public,
2025-05-12,Vesak Day,Vesak Day,SG,False,True,,Public,
2025-06-06,Hari Raya Haji,Hari Raya Haji,SG,False,True,,Public,
2025-08-09,National Day,National Day,SG,False,True,,Public,
2025-10-21,Deepavali,Deepavali,SG,False,True,,Public,
2025-12-25,Christmas Day,Christmas Day,SG,False,True,,Public,
