Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2023-01-01,Første nyttårsdag,New Year's Day,SJ,False,True,,Public,
2023-04-06,Skjærtorsdag,Maundy Thursday,SJ,False,True,,Public,
2023-04-07,Langfredag,Good Friday,SJ,False,True,,Public,
2023-04-09,Første påskedag,Easter Sunday,SJ,False,True,,Public,
2023-04-10,Andre påskedag,Easter Monday,SJ,False,True,,Public,
2023-05-01,Første mai,May Day,SJ,False,True,,Public,
2023-05-17,Syttende mai,Constitution Day,SJ,False,True,,Public,
2023-05-18,Kristi himmelfartsdag,Ascension Day,SJ,False,True,,Public,
2023-05-28,Første pinsedag,Pentecost,SJ,False,True,,Public,
2023-05-29,Andre pinsedag,Whit Monday,SJ,False,True,,Public,
2023-12-25,Første juledag,Christmas Day,SJ,False,True,,Public,
2023-12-26,Andre juledag,Second day of Christmas,SJ,False,True,,Public,
