Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2021-01-01,Deň vzniku Slovenskej republiky,Day of the Establishment of the Slovak Republic,SK,False,True,,Public,
2021-01-06,Zjavenie Pána,Epiphany,SK,False,True,,Public,
2021-04-02,Veľkonočný piatok,Good Friday,SK,False,True,,Public,
2021-04-05,Veľkonočný pondelok,Easter Monday,SK,False,True,,Public,
2021-05-01,Sviatok práce,International Workers' Day,SK,False,True,,Public,
2021-05-08,Deň víťazstva nad fašizmom,Day of victory over fascism,SK,False,True,,Public,
2021-07-05,Sviatok svätého Cyrila a svätého Metoda,St. Cyril and Methodius Day,SK,False,True,,Public,
2021-08-29,Výročie Slovenského národného povstania,Slovak National Uprising anniversary,SK,False,True,,Public,
2021-09-01,Deň Ústavy Slovenskej republiky,Day of the Constitution of the Slovak Republic,SK,False,True,,Public,
2021-09-15,Sedembolestná Panna Mária,Day of Our Lady of the Seven Sorrows,SK,False,True,,Public,
2021-11-01,Sviatok Všetkých svätých,All Saints’ Day,SK,False,True,,Public,
2021-11-17,Deň boja za slobodu a demokraciu,Struggle for Freedom and Democracy Day,SK,False,True,,Public,
2021-12-24,Štedrý deň,Christmas Eve,SK,False,True,,Public,
2021-12-25,Prvý sviatok vianočný,Christmas Day,SK,False,True,,Public,
2021-12-26,Druhý sviatok vianočný,St. Stephen's Day,SK,False,True,,Public,
