Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2029-01-01,New Year's Day,New Year's Day,SR,False,True,,Public,
2029-01-06,Three Kings Day,Three Kings Day,SR,False,True,,Public,
2029-01-21,World Religion Day,World Religion Day,SR,False,True,,Public,
2029-02-13,Chinese New Year,Chinese New Year,SR,False,True,,Public,
2029-02-25,Day of the Revolution,Day of the Revolution,SR,False,True,,Public,
2029-03-30,Good Friday,Good Friday,SR,False,True,,Public,
2029-04-01,Easter Sunday,Easter Sunday,SR,False,True,,Public,
2029-05-01,Labour Day,Labour Day,SR,False,True,,Public,
2029-05-10,Ascension Day,Ascension Day,SR,False,True,,Public,
2029-06-05,Indian Arrival Day,Indian Arrival Day,SR,False,True,,Public,
2029-07-01,Keti Koti,Keti Koti,SR,False,True,,Public,
2029-08-08,Javanese Arrival Day,Javanese Arrival Day,SR,False,True,,Public,
2029-08-09,Indigenous People's Day,Indigenous People's Day,SR,False,True,,Public,
2029-10-10,Day of the Maroons,Day of the Maroons,SR,False,True,,Public,
2029-10-20,Chinese Arrival day,Chinese Arrival day,SR,False,True,,Public,
2029-11-25,Independence Day,Independence Day,SR,False,True,,Public,
2029-12-25,Christmas Day,Christmas Day,SR,False,True,,Public,
2029-12-26,Boxing Day,Boxing Day,SR,False,True,,Public,
