Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2028-05-01,Día del trabajo,Labor Day,SV,False,True,,Public,
2028-05-03,Día de la Cru,The Day of the Cross,SV,False,True,,Public,
2028-05-07,Día del Soldado,Soldiers' Day,SV,False,True,,Public,
2028-05-10,Día de las Madres,Mother's Day,SV,False,True,,Public,
2028-05-10,Día del Padre,Father's Day,SV,False,True,,Public,
2028-08-01,Fiestas de agosto,August Festivals,SV,False,True,,Public,
2028-08-02,Fiestas de agosto,August Festivals,SV,False,True,,Public,
2028-08-03,Fiestas de agosto,August Festivals,SV,False,True,,Public,
2028-08-04,Fiestas de agosto,August Festivals,SV,False,True,,Public,
2028-08-05,Fiestas de agosto,August Festivals,SV,False,True,,Public,
2028-08-06,Fiestas de agosto,August Festivals,SV,False,True,,Public,
2028-08-07,Fiestas de agosto,August Festivals,SV,False,True,,Public,
2028-09-15,Día de la Independencia,Independence Day,SV,False,True,,Public,
2028-10-01,Día del niño,Children's Day,SV,False,True,,Public,
2028-10-12,Día de la raza,Ethnic Pride Day,SV,False,True,,Public,
2028-11-02,El día de los difuntos,Day of the Dead,SV,False,True,,Public,
2028-11-07,Festival Nacional De La Pupusa,National Pupusa Festival,SV,False,True,,Public,
2028-11-08,Festival Nacional De La Pupusa,National Pupusa Festival,SV,False,True,,Public,
2028-11-09,Festival Nacional De La Pupusa,National Pupusa Festival,SV,False,True,,Public,
2028-11-10,Festival Nacional De La Pupusa,National Pupusa Festival,SV,False,True,,Public,
2028-11-11,Festival Nacional De La Pupusa,National Pupusa Festival,SV,False,True,,Public,
2028-11-12,Festival Nacional De La Pupusa,National Pupusa Festival,SV,False,True,,Public,
2028-11-13,Festival Nacional De La Pupusa,National Pupusa Festival,SV,False,True,,Public,
2028-11-21,Dia de la Reina de la Paz,Day of the Queen of Peace,SV,False,True,,Public,
2028-12-25,Noche Buena,Christmas Day,SV,False,True,,Public,
2028-12-31,Fin de año,New Year's Eve,SV,False,True,,Public,
