Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2028-01-01,Maria Santissima Madre di Dio,"Solemnity of Mary, Mother of God",VA,False,True,,Public,
2028-01-06,Epifania del Signore,Epiphany,VA,False,True,,Public,
2028-02-11,Anniversario della istituzione dello Stato della Città del Vaticano,Anniversary of the foundation of Vatican City,VA,False,True,,Public,
2028-03-13,Anniversario dell'Elezione del Santo Padre,Anniversary of the election of Pope Francis,VA,False,True,,Public,
2028-03-19,San Giuseppe,Saint Joseph's Day,VA,False,True,,Public,
2028-04-17,Lunedì dell'Angelo,Easter Monday,VA,False,True,,Public,
2028-04-23,Onomastico del Santo Padre,Saint George,VA,False,True,,Public,
2028-05-01,San Giuseppe lavoratore,Saint Joseph the Worker,VA,False,True,,Public,
2028-06-29,Santi Pietro e Paolo,Saints Peter and Paul,VA,False,True,,Public,
2028-08-15,Assunzione di Maria in Cielo,Assumption Day,VA,False,True,,Public,
2028-09-08,Festa della natività della madonna,Nativity of Mary,VA,False,True,,Public,
2028-11-01,"Tutti i santi, Ognissanti",All Saints,VA,False,True,,Public,
2028-12-08,Immacolata Concezione,Immaculate Conception,VA,False,True,,Public,
2028-12-25,Natale,Christmas Day,VA,False,True,,Public,
2028-12-26,Santo Stefano,St. Stephen's Day,VA,False,True,,Public,
