Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2026-01-01,New Year's Day,New Year's Day,ZW,False,True,,Public,
2026-02-21,Robert Mugabe National Youth Day,Robert Mugabe National Youth Day,ZW,False,True,,Public,
2026-04-03,Good Friday,Good Friday,ZW,False,True,,Public,
2026-04-04,Easter Saturday,Easter Saturday,ZW,False,True,,Public,
2026-04-04,Easter Saturday,Holy Saturday,ZW,False,True,,Public,
2026-04-06,Easter Monday,Easter Monday,ZW,False,True,,Public,
2026-04-18,Independence Day,Independence Day,ZW,False,True,,Public,
2026-05-01,Worker's Day,Worker's Day,ZW,False,True,,Public,
2026-05-25,Africa Day,Africa Day,ZW,False,True,,Public,
2026-08-10,Heroes' Day,Heroes' Day,ZW,False,True,,Public,
2026-08-11,Defence Forces Day,Defence Forces Day,ZW,False,True,,Public,
2026-12-22,Unity Day,Unity Day,ZW,False,True,,Public,
2026-12-25,Christmas Day,Christmas Day,ZW,False,True,,Public,
2026-12-26,Boxing Day,St. Stephen's Day,ZW,False,True,,Public,
