Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2020-01-01,Any nou,New Year's Day,AD,False,True,,Public,
2020-01-06,Reis,Epiphany,AD,False,True,,Public,
2020-02-24,Carnaval,Carnival,AD,False,True,,Public,
2020-03-14,Dia de la Constitució,Constitution Day,AD,False,True,,Public,
2020-04-10,Divendres Sant,Good Friday,AD,False,True,,Public,
2020-04-13,Dilluns de Pasqua,Easter Monday,AD,False,True,,Public,
2020-05-01,Festa del Treball,Labour Day,AD,False,True,,Public,
2020-06-01,Dilluns de Pentecosta,Whit Monday,AD,False,True,,Public,
2020-08-15,Assumpció,Assumption Day,AD,False,True,,Public,
2020-09-08,Mare de Déu de Meritxell,National Holiday,AD,False,True,,Public,
2020-11-01,Tots Sants,All Saints' Day,AD,False,True,,Public,
2020-12-08,Immaculada Concepció,Immaculate Conception,AD,False,True,,Public,
2020-12-25,Nadal,Christmas Day,AD,False,True,,Public,
2020-12-26,Sant Esteve,St. Stephen's Day,AD,False,True,,Public,
