Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2024-01-01,Nieuwjaar,New Year's Day,BE,False,True,,Public,
2024-03-29,Goede Vrijdag,Good Friday,BE,False,True,,Bank,
2024-03-31,Pasen,Easter Sunday,BE,False,True,,Public,
2024-04-01,Paasmaandag,Easter Monday,BE,False,True,,Public,
2024-05-01,Dag van de arbeid,Labour Day,BE,False,True,,Public,
2024-05-09,Onze Lieve Heer hemel,Ascension Day,BE,False,True,,Public,
2024-05-10,Day after Ascension Day,Day after Ascension Day,BE,False,True,,Bank,
2024-05-20,Pinkstermaandag,Whit Monday,BE,False,True,,Public,
2024-07-21,Nationale feestdag,Belgian National Day,BE,False,True,,Public,
2024-08-15,Onze Lieve Vrouw hemelvaart,Assumption Day,BE,False,True,,Public,
2024-11-01,Allerheiligen,All Saints' Day,BE,False,True,,Public,
2024-11-11,Wapenstilstand,Armistice Day,BE,False,True,,Public,
2024-12-25,Kerstdag,Christmas Day,BE,False,True,,Public,
2024-12-26,Boxing Day,St. Stephen's Day,BE,False,True,,Bank,
