Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2022-01-01,Año Nuevo,New Year's Day,BO,False,True,,Public,
2022-02-02,Fiesta de la Virgen de Candelaria,Feast of the Virgin of Candelaria,BO,False,True,,Public,
2022-02-28,Feriado por Carnaval,Carnival,BO,False,True,,Public,
2022-03-01,Feriado por Carnaval,Carnival,BO,False,True,,Public,
2022-04-15,Viernes Santo,Good Friday,BO,False,True,,Public,
2022-05-01,Dia del trabajo,Labour Day,BO,False,True,,Public,
2022-06-16,Corpus Christi,Corpus Christi,BO,False,True,,Public,
2022-06-21,Año Nuevo Andino,Andean New Year,BO,False,True,,Public,
2022-08-02,Día de la Revolución Agraria,Agrarian Reform Day,BO,False,True,,Public,
2022-08-06,Dia de la Patria,Independence Day,BO,False,True,,Public,
2022-11-02,Todos Santos,All Saints' Day,BO,False,True,,Public,
2022-12-25,Navidad,Christmas Day,BO,False,True,,Public,
