Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2022-01-01,Confraternização Universal,New Year's Day,BR,False,True,,Public,
2022-02-28,Carnaval,Carnival,BR,False,True,,"Bank, Optional",
2022-03-01,Carnaval,Carnival,BR,False,True,,"Bank, Optional",
2022-04-15,Sexta-feira Santa,Good Friday,BR,False,True,,Public,
2022-04-17,Domingo de Páscoa,Easter Sunday,BR,False,True,,Public,
2022-04-21,Dia de Tiradentes,Tiradentes,BR,False,True,,Public,
2022-05-01,Dia do Trabalhador,Labour Day,BR,False,True,,Public,
2022-06-16,Corpus Christi,Corpus Christi,BR,False,True,,Public,
2022-07-09,Revolução Constitucionalista de 1932,Constitutionalist Revolution of 1932,BR,False,False,,Public,BR-SP
2022-09-07,Dia da Independência,Independence Day,BR,False,True,,Public,
2022-10-12,Nossa Senhora Aparecida,Our Lady of Aparecida,BR,False,True,,Public,
2022-11-02,Dia de Finados,All Souls' Day,BR,False,True,,Public,
2022-11-15,Proclamação da República,Republic Proclamation Day,BR,False,True,,Public,
2022-12-25,Natal,Christmas Day,BR,False,True,,Public,
