Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2024-01-01,Новы год,New Year's Day,BY,False,True,,Public,
2024-01-02,Новы год,New Year's Day,BY,False,True,,Public,
2024-01-07,Каляды праваслаўныя,Orthodox Christmas Day,BY,False,True,,Public,
2024-03-08,Мiжнародны жаночы дзень,International Women's Day,BY,False,True,,Public,
2024-05-01,Дзень працы,Labour Day,BY,False,True,,Public,
2024-05-09,Дзень Перамогi,Victory Day,BY,False,True,,Public,
2024-05-14,Радунiца,Commemoration Day,BY,False,True,,Public,
2024-07-03,Дзень Незалежнасцi,Independence Day,BY,False,True,,Public,
2024-11-07,Дзень Кастрычніцкай рэвалюцыі,October Revolution Day,BY,False,True,,Public,
2024-12-25,Каляды каталiцкiя,Catholic Christmas Day,BY,False,True,,Public,
