Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2021-01-01,New Year's Day,New Year's Day,CA,False,True,,Public,
2021-02-15,Louis Riel Day,Louis Riel Day,CA,False,False,,Public,CA-MB
2021-02-15,Islander Day,Islander Day,CA,False,False,,Public,CA-PE
2021-02-15,Heritage Day,Heritage Day,CA,False,False,,Public,CA-NS
2021-02-15,Family Day,Family Day,CA,False,False,,Public,"CA-AB,CA-BC,CA-NB,CA-ON,CA-SK"
2021-03-17,Saint Patrick's Day,Saint Patrick's Day,CA,False,False,,Public,CA-NL
2021-04-02,Good Friday,Good Friday,CA,False,True,,Public,
2021-04-05,Easter Monday,Easter Monday,CA,False,False,,Public,"CA-AB,CA-PE"
2021-04-23,Saint George's Day,Saint George's Day,CA,False,False,,Public,CA-NL
2021-05-24,National Patriots' Day,National Patriots' Day,CA,False,False,,Public,CA-QC
2021-05-24,Victoria Day,Victoria Day,CA,False,True,,Public,
2021-06-21,National Aboriginal Day,National Aboriginal Day,CA,False,False,,Public,CA-NT
2021-06-24,Discovery Day,Discovery Day,CA,False,False,,Public,CA-NL
2021-06-24,Fête nationale du Québec,National Holiday,CA,False,False,,Public,CA-QC
2021-07-01,Canada Day,Canada Day,CA,False,True,,Public,
2021-07-12,Orangemen's Day,Orangemen's Day,CA,False,False,,Public,CA-NL
2021-08-02,Civic Holiday,Civic Holiday,CA,False,False,,Public,"CA-MB,CA-NL,CA-NT,CA-NU,CA-ON"
2021-08-02,British Columbia Day,British Columbia Day,CA,False,False,,Public,CA-BC
2021-08-02,Heritage Day,Heritage Day,CA,False,False,,Public,"CA-AB,CA-YT"
2021-08-02,New Brunswick Day,New Brunswick Day,CA,False,False,,Public,CA-NB
2021-08-02,Natal Day,Natal Day,CA,False,False,,Public,CA-NS
2021-08-02,Saskatchewan Day,Saskatchewan Day,CA,False,False,,Public,CA-SK
2021-08-16,Gold Cup Parade Day,Gold Cup Parade Day,CA,False,False,,Public,CA-PE
2021-08-16,Discovery Day,Discovery Day,CA,False,False,,Public,CA-YT
2021-09-06,Labour Day,Labour Day,CA,False,True,,Public,
2021-09-30,National Day for Truth and Reconciliation,National Day for Truth and Reconciliation,CA,False,True,,Public,
2021-10-11,Thanksgiving,Thanksgiving,CA,False,True,,Public,
2021-11-11,Armistice Day,Armistice Day,CA,False,False,,Public,CA-NL
2021-11-11,Remembrance Day,Remembrance Day,CA,False,False,,Public,"CA-AB,CA-BC,CA-NB,CA-NT,CA-NS,CA-NU,CA-PE,CA-SK,CA-YT"
2021-12-25,Christmas Day,Christmas Day,CA,False,True,,Public,
2021-12-26,Boxing Day,St. Stephen's Day,CA,False,False,,Public,"CA-AB,CA-NB,CA-NS,CA-ON,CA-PE"
