Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2019-01-01,Año Nuevo,New Year's Day,CO,False,True,,Public,
2019-01-07,Día de los Reyes Magos,Epiphany,CO,False,True,,Public,
2019-03-25,Día de San José,Saint Joseph's Day,CO,False,True,,Public,
2019-04-18,Jueves Santo,Maundy Thursday,CO,False,True,,Public,
2019-04-19,Viernes Santo,Good Friday,CO,False,True,,Public,
2019-05-01,Primero de Mayo,Labour Day,CO,False,True,,Public,
2019-05-30,Ascensión del señor,Ascension Day,CO,False,True,,Public,
2019-06-20,Corpus Christi,Corpus Christi,CO,False,True,,Public,
2019-07-01,San Pedro y San Pablo,Saint Peter and Saint Paul,CO,False,True,,Public,
2019-07-01,Sagrado Corazón,Sacred Heart,CO,False,True,,Public,
2019-07-20,Declaracion de la Independencia de Colombia,Declaration of Independence,CO,False,True,,Public,
2019-08-07,Batalla de Boyacá,Battle of Boyacá,CO,False,True,,Public,
2019-08-19,La Asunción,Assumption of Mary,CO,False,True,,Public,
2019-10-14,Día de la Raza,Columbus Day,CO,False,True,,Public,
2019-11-04,Dia de los Santos,All Saints’ Day,CO,False,True,,Public,
2019-11-11,Independencia de Cartagena,Independence of Cartagena,CO,False,True,,Public,
2019-12-08,La Inmaculada Concepción,Immaculate Conception,CO,False,True,,Public,
2019-12-25,Navidad,Christmas Day,CO,False,True,,Public,
