Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2022-01-01,Uudenvuodenpäivä,New Year's Day,FI,False,True,,Public,
2022-01-06,Loppiainen,Epiphany,FI,False,True,,Public,
2022-04-15,Pitkäperjantai,Good Friday,FI,False,True,,Public,
2022-04-17,Pääsiäispäivä,Easter Sunday,FI,False,True,,Public,
2022-04-18,Toinen pääsiäispäivä,Easter Monday,FI,False,True,,Public,
2022-05-01,Vappu,May Day,FI,False,True,,Public,
2022-05-26,Helatorstai,Ascension Day,FI,False,True,,Public,
2022-06-05,Helluntaipäivä,Pentecost,FI,False,True,,Public,
2022-06-24,Juhannusaatto,Midsummer Eve,FI,False,True,,Public,
2022-06-25,Juhannuspäivä,Midsummer Day,FI,False,True,,Public,
2022-11-05,Pyhäinpäivä,All Saints' Day,FI,False,True,,Public,
2022-12-06,Itsenäisyyspäivä,Independence Day,FI,False,True,,Public,
2022-12-24,Jouluaatto,Christmas Eve,FI,False,True,,Public,
2022-12-25,Joulupäivä,Christmas Day,FI,False,True,,Public,
2022-12-26,Tapaninpäivä,St. Stephen's Day,FI,False,True,,Public,
