Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2027-01-01,Nýggjársdagur,New Year's Day,FO,False,True,,Public,
2027-03-25,Skírhósdagur,Maundy Thursday,FO,False,True,,Public,
2027-03-26,Langifríggjadagur,Good Friday,FO,False,True,,Public,
2027-03-28,Páskadagur,Easter Sunday,FO,False,True,,Public,
2027-03-29,2. Páskadagur,Easter Monday,FO,False,True,,Public,
2027-04-23,Dýri biðidagur,General Prayer Day,FO,False,True,,Public,
2027-04-23,Dýri biðidagur,General Prayer Day,FO,False,True,,Public,
2027-04-25,Flaggdagur,National Flag Day,FO,False,True,,Public,
2027-05-06,Kristi himmalsferðar dagur,Ascension Day,FO,False,True,,Public,
2027-05-16,Hvítasunnudagur,Pentecost,FO,False,True,,Public,
2027-05-17,2. Hvítasunnudagur,Whit Monday,FO,False,True,,Public,
2027-06-05,Grundlógardagur Danmarkar,Constitution Day,FO,False,True,,Public,
2027-07-28,Ólavsøkuaftan,Saint Olav's Eve,FO,False,True,,Public,
2027-07-29,Ólavsøkudagur,Saint Olav's Day,FO,False,True,,Public,
2027-12-24,Jólaaftanskvøld,Christmas Eve,FO,False,True,,Public,
2027-12-25,Jóladagur,Christmas Day,FO,False,True,,Public,
2027-12-26,2. Jóladagur,St. Stephen's Day,FO,False,True,,Public,
2027-12-31,Nýggjársaftan,New Year's Eve,FO,False,True,,Public,
