Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2020-01-01,New Year's Day,New Year's Day,GD,False,True,,Public,
2020-02-07,Independence Day,Independence Day,GD,False,True,,Public,
2020-04-10,Good Friday,Good Friday,GD,False,True,,Public,
2020-04-13,Easter Monday,Easter Monday,GD,False,True,,Public,
2020-05-01,Labour Day,Labour Day,GD,False,True,,Public,
2020-05-01,Indian Arrival Day,Indian Arrival Day,GD,False,True,,Public,
2020-06-01,Whit Monday,Whit Monday,GD,False,True,,Public,
2020-06-11,Corpus Christi,Corpus Christi,GD,False,True,,Public,
2020-08-03,Emancipation Day,Emancipation Day,GD,False,True,,Public,
2020-08-11,Carnival,Carnival,GD,False,True,,Public,
2020-10-25,Thanksgiving Day,Thanksgiving Day,GD,False,True,,Public,
2020-12-25,Christmas Day,Christmas Day,GD,False,True,,Public,
2020-12-26,Boxing Day,Boxing Day,GD,False,True,,Public,
