Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2029-01-01,New Year's Day,New Year's Day,GI,False,True,,Public,
2029-03-12,Commonwealth Day,Commonwealth Day,GI,False,True,,Public,
2029-03-30,Good Friday,Good Friday,GI,False,True,,Public,
2029-04-02,Easter Monday,Easter Monday,GI,False,True,,Public,
2029-04-28,Workers' Memorial Day,Workers' Memorial Day,GI,False,True,,Public,
2029-05-01,May Day Bank Holiday,May Day Bank Holiday,GI,False,True,,Public,
2029-05-28,Spring Bank Holiday,Spring Bank Holiday,GI,False,True,,Public,
2029-06-11,Queen's Birthday,Queen's Birthday,GI,False,True,,Public,
2029-08-27,Summer Bank Holiday,Summer Bank Holiday,GI,False,True,,Public,
2029-09-10,Gibraltar National Day,Gibraltar National Day,GI,False,True,,Public,
2029-12-25,Christmas Day,Christmas Day,GI,False,True,,Public,
2029-12-26,St. Stephen's Day,Boxing Day,GI,False,True,,Public,
