Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2024-01-01,Ukiortaaq,New Year's Day,GL,False,True,,Public,
2024-01-06,Kunngit pingasut ulluat,Epiphany,GL,False,True,,"Bank, School, Optional",
2024-03-28,Sisamanngortoq illernartoq,Maundy Thursday,GL,False,True,,Public,
2024-03-29,Tallimanngorneq tannaartoq,Good Friday,GL,False,True,,Public,
2024-03-31,Poorskip ullua,Easter Sunday,GL,False,True,,Public,
2024-04-01,Poorskip-aappaa,Easter Monday,GL,False,True,,Public,
2024-04-26,Tussiarfik,General Prayer Day,GL,False,True,,Public,
2024-05-09,Qilaliarfik,Ascension Day,GL,False,True,,Public,
2024-05-10,Atuanngiffik,Bank closing day,GL,False,True,,"Bank, School, Optional",
2024-05-19,Piinsi,Pentecost,GL,False,True,,Public,
2024-05-20,Piinsip-aappaa,Whit Monday,GL,False,True,,Public,
2024-06-21,Ullortuneq,Ullortuneq,GL,False,True,,Public,
2024-12-24,Juulliaraq,Christmas Eve,GL,False,True,,"Bank, School, Optional",
2024-12-25,Juullip ullua,Christmas Day,GL,False,True,,Public,
2024-12-26,Juullip-aappaa,St. Stephen's Day,GL,False,True,,Public,
2024-12-31,Ukiutoqaq,New Year's Eve,GL,False,True,,"Bank, School, Optional",
