Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2028-01-01,Újév,New Year's Day,HU,False,True,,Public,
2028-03-15,Nemzeti ünnep,1848 Revolution Memorial Day,HU,False,True,,Public,
2028-04-14,Nagypéntek,Good Friday,HU,False,True,,Public,
2028-04-16,Húsvétvasárnap,Easter Sunday,HU,False,True,,Public,
2028-04-17,Húsvéthétfő,Easter Monday,HU,False,True,,Public,
2028-05-01,A munka ünnepe,Labour day,HU,False,True,,Public,
2028-06-04,Pünkösdvasárnap,Pentecost,HU,False,True,,Public,
2028-06-05,Pünkösdhétfő,Whit Monday,HU,False,True,,Public,
2028-08-20,Az államalapítás ünnepe,State Foundation Day,HU,False,True,,Public,
2028-10-23,Nemzeti ünnep,1956 Revolution Memorial Day,HU,False,True,,Public,
2028-11-01,Mindenszentek,All Saints Day,HU,False,True,,Public,
2028-12-25,Karácsony,Christmas Day,HU,False,True,,Public,
2028-12-26,Karácsony másnapja,St. Stephen's Day,HU,False,True,,Public,
