Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2027-01-01,Lá Caille,New Year's Day,IE,False,True,,Public,
2027-02-01,Lá Fhéile Bríde,Saint Brigid's Day,IE,False,True,,Public,
2027-03-17,Lá Fhéile Pádraig,Saint Patrick's Day,IE,False,True,,Public,
2027-03-26,Aoine an Chéasta,Good Friday,IE,False,True,,"Bank, School",
2027-03-29,Luan Cásca,Easter Monday,IE,False,True,,Public,
2027-05-03,Lá Bealtaine,May Day,IE,False,True,,Public,
2027-06-07,Lá Saoire i mí an Mheithimh,June Holiday,IE,False,True,,Public,
2027-08-02,Lá Saoire i mí Lúnasa,August Holiday,IE,False,True,,Public,
2027-10-25,Lá Saoire i mí Dheireadh Fómhair,October Holiday,IE,False,True,,Public,
2027-12-25,Lá Nollag,Christmas Day,IE,False,True,,Public,
2027-12-26,Lá Fhéile Stiofáin,St. Stephen's Day,IE,False,True,,Public,
