Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2025-01-01,Nýársdagur,New Year's Day,IS,False,True,,Public,
2025-04-17,Skírdagur,Maundy Thursday,IS,False,True,,Public,
2025-04-18,Föstudagurinn langi,Good Friday,IS,False,True,,Public,
2025-04-20,Páskadagur,Easter Sunday,IS,False,True,,Public,
2025-04-21,Annar í páskum,Easter Monday,IS,False,True,,Public,
2025-04-24,Sumardagurinn fyrsti,First Day of Summer,IS,False,True,,Public,
2025-05-01,Verkalýðsdagurinn,May Day,IS,False,True,,Public,
2025-05-29,Uppstigningardagur,Ascension Day,IS,False,True,,Public,
2025-06-08,Hvítasunnudagur,Pentecost,IS,False,True,,Public,
2025-06-09,Annar í hvítasunnu,Whit Monday,IS,False,True,,Public,
2025-06-17,Þjóðhátíðardagurinn,Icelandic National Day,IS,False,True,,Public,
2025-08-04,Frídagur verslunarmanna,Commerce Day,IS,False,True,,Public,
2025-12-24,Aðfangadagur,Christmas Eve,IS,False,True,,Public,
2025-12-25,Jóladagur,Christmas Day,IS,False,True,,Public,
2025-12-26,Annar í jólum,St. Stephen's Day,IS,False,True,,Public,
2025-12-31,Gamlársdagur,New Year's Eve,IS,False,True,,Public,
