Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2026-01-01,새해,New Year's Day,KR,False,True,,Public,
2026-02-16,설날,Lunar New Year,KR,False,True,,Public,
2026-02-17,설날,Lunar New Year,KR,False,True,,Public,
2026-02-18,설날,Lunar New Year,KR,False,True,,Public,
2026-03-01,3·1절,Independence Movement Day,KR,False,True,,Public,
2026-05-05,어린이날,Children's Day,KR,False,True,,Public,
2026-05-24,부처님 오신 날,Buddha's Birthday,KR,False,True,,Public,
2026-06-06,현충일,Memorial Day,KR,False,True,,Public,
2026-08-15,광복절,Liberation Day,KR,False,True,,Public,
2026-09-24,추석,Chuseok,KR,False,True,,Public,
2026-09-25,추석,Chuseok,KR,False,True,,Public,
2026-09-26,추석,Chuseok,KR,False,True,,Public,
2026-10-03,개천절,National Foundation Day,KR,False,True,,Public,
2026-10-09,한글날,Hangul Day,KR,False,True,,Public,
2026-12-25,크리스마스,Christmas Day,KR,False,True,,Public,
